Campus,Primary_standard,Campus_type,abbreviation
UC Berkeley,AASHE STARS,Academic,UCB
UC Los Angeles,AASHE STARS,Academic,UCLA
UC Los Angeles Health,Practice Greenhealth,Health,UCLA_H
UC Davis,AASHE STARS,Academic,UCD
UC Davis Health,Practice Greenhealth,Health,UCD_H
UC San Diego,AASHE STARS,Academic,UCSD
UC Irvine,AASHE STARS,Academic,UCI
UC Irvine Health,Practice Greenhealth,Health,UCI_H
UC Santa Barbara,AASHE STARS,Academic,UCSB
UC Riverside,AASHE STARS,Academic,UCR
UC Santa Cruz,AASHE STARS,Academic,UCSC
UC Merced,AASHE STARS,Academic,UCM
UC San Francisco,Practice Greenhealth,Health,UCSF
