Meat type,C_footprint_kg_C_per_kg_food,Food Category,C footprint local (kg eCO2 / kg food),Nitrogen Content,Conventional virtual N factor (kg N loss / kg N food),Nitrogen transport EF (kg N / mile),Food transport distance (miles),Local food transport (miles),Food waste,Truck capacity (kg)
Fish,4.979783836,Fish (finfish),4.830390321,0.0287104,2.5,0.00201,950,250,0.39,22700
Beef,41.34628634,Beef & buffalo meat,40.10589775,0.029156,11.3,0.00201,950,250,0.15,22700
Pork,9.831502854,Pork (pig meat),9.536557768,0.028251429,4.7,0.00201,950,250,0.15,22700
Chicken,4.399609786,"Poultry (chicken, turkey)",4.267621493,0.0278176,4.2,0.00201,950,250,0.15,22700
Turkey,4.399609786,"Poultry (chicken, turkey)",4.267621493,0.0278176,4.2,0.00201,950,250,0.15,22700
Shellfish,21.127425,Crustaceans (shrimp/prawns),20.49360225,0.0287104,2.5,0.00201,950,250,0.39,22700
Soy,1.75423,Soybeans/Tofu,1.7016031,0.0144208,0.41,0.00201,1500,250,0.05,22700
,41.621119,Lamb/mutton & goat meat,40.37248543,0.029156,11.3,0.00201,950,250,0.15,22700
,2.43515,Mollusks,2.3620955,0.0287104,2.5,0.00201,950,250,0.39,22700
,0.953505,Barley (Beer),0.92489985,0.00144,3.4,0.00201,800,250,0.37,22700
,1.391479,Wine Grapes (Wine),1.34973463,0.00144,3.4,0.00201,800,250,0.37,22700
,11.144348,Butter,10.81001756,0.030096,3.1,0.00201,250,250,0.15,22700
,8.694963662,Cheese,8.434114752,0.030096,3.1,0.00201,250,250,0.15,22700
,6.821905,Cream,6.61724785,0.006327111,3.1,0.00201,250,250,0.15,22700
,3.661457365,Eggs,3.551613644,0.018549333,3.3,0.00201,250,250,0.15,22700
,3.940276,Ice cream,3.82206772,0.030096,3.1,0.00201,250,250,0.15,22700
,2.167465879,Milk (cow's milk),2.102441903,0.006327111,3.1,0.00201,250,250,0.15,22700
,2.931706,Yogurt,2.84375482,0.006327111,3.1,0.00201,250,250,0.15,22700
,6.969269,Animal fats,6.76019093,0.0287104,2.5,0.00201,950,250,0.39,22700
