title,weight_group_key,assumed_each_weight_oz,assumed_each_weight_lb,assumption_note,source_url,confidence,human_confirmed
EGG LIQ WHL CAGE FREE W/CITRIC,SYSCO_CROSS_CAMPUS,,20.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""20 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
CHOCOLATE CHIP SEMI REAL 4000,SYSCO_CROSS_CAMPUS,,25.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""25 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
GRAIN QUINOA RED FULLY COOKED,SYSCO_CROSS_CAMPUS,,2.2,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""2.2 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
CHICKEN TNDR FRTR HMSTYL PRCKD,SYSCO_CROSS_CAMPUS,,5.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""5 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
CHICKEN THIGH BNLS FIRE BRAISD,SYSCO_CROSS_CAMPUS,,6.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""6#AVG""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
POTATO FRY KK 1/2IN DELIVERY,SYSCO_CROSS_CAMPUS,,5.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""5 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
SHORTENING FRY CANOLA CLR ZTF,SYSCO_CROSS_CAMPUS,,35.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""35LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
SAUCE MASALA TIKKA,SYSCO_CROSS_CAMPUS,,4.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""4LBS""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
ENTREE CHKN PC MAN ORG W/SCE,SYSCO_CROSS_CAMPUS,,7.25,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""7.25LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
ENTREE VEGETARIAN TARKA DAL,SYSCO_CROSS_CAMPUS,,4.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""4 LBS""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
RICE JASMINE THAI PR GRADE,SYSCO_CROSS_CAMPUS,,25.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""25LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
POTATO FRY SKON 5/16 COAT,SYSCO_CROSS_CAMPUS,,5.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""5 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
APTZR VEGETABLE SAMOSA SMALL,SYSCO_CROSS_CAMPUS,,4.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""4 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
POTATO CKD MASHED YELLOW DELUX,SYSCO_CROSS_CAMPUS,,6.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""6LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
ENTREE VEGETARIAN ALU CHOLE,SYSCO_CROSS_CAMPUS,,4.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""4 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
SAUCE ALFREDO POUCH GLUTFR,SYSCO_CROSS_CAMPUS,,4.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""64 OZ""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
BEAN GREEN WHL HARICOT VERT,SYSCO_CROSS_CAMPUS,,2.0,"Sysco is a national distributor -- this exact product name's case weight was confirmed directly from UC Berkeley's own Sysco data (Pack size column = ""2 LB""), not estimated, and is reused here on the assumption the same national SKU is packed the same way regardless of which campus orders it.",,Medium,0
